count,name,pseudonym,source,active_from,active_to,viaf,ulan,wikidata,wikipedia,source,loc,gnd
207,Salvi Giovanni Battista,Sassoferrato,vocab,1625,1699,http://viaf.org/viaf/64808359,http://vocab.getty.edu/ulan/500021065,http://www.wikidata.org/entity/Q1345289,,vocab,http://id.loc.gov/authorities/names/no91009654,https://d-nb.info/gnd/119011190
207,Peruzzi Baldassarre,,data,1500,1599,http://viaf.org/viaf/39646794,http://vocab.getty.edu/ulan/500030776,http://www.wikidata.org/entity/Q177213,,data,http://id.loc.gov/authorities/names/n83032025,https://d-nb.info/gnd/118740091
205,Ricci Marco,,vocab,1696,1799,http://viaf.org/viaf/88651839,http://vocab.getty.edu/ulan/500115726,http://www.wikidata.org/entity/Q930162,,vocab,http://id.loc.gov/authorities/names/no92024013,https://d-nb.info/gnd/118835696
205,Crespi Giuseppe Maria,Spagnoletto,data and vocab,1685,1790,http://viaf.org/viaf/7586835,http://vocab.getty.edu/ulan/500115276,http://www.wikidata.org/entity/Q528620,http://it.wikipedia.org/wiki/Giuseppe_Crespi,data and vocab,http://id.loc.gov/authorities/names/n83235520,https://d-nb.info/gnd/118522728
202,Longhi Pietro,,vocab,1725,1785,http://viaf.org/viaf/52485558,http://vocab.getty.edu/ulan/500023454,http://www.wikidata.org/entity/Q447058,,vocab,http://id.loc.gov/authorities/names/n82141032,https://d-nb.info/gnd/118780425
202,Neri di Bicci,,data and vocab,1440,1510,http://viaf.org/viaf/22412994,http://vocab.getty.edu/ulan/500002038,http://www.wikidata.org/entity/Q1452198,http://it.wikipedia.org/wiki/Neri_di_Bicci,data and vocab,http://id.loc.gov/authorities/names/nr91018028,https://d-nb.info/gnd/128387009
202,Lorenzo di Credi,,data and vocab,1470,1550,http://viaf.org/viaf/96538267,http://vocab.getty.edu/ulan/500115418,http://www.wikidata.org/entity/Q8511,http://it.wikipedia.org/wiki/Lorenzo_di_Credi,data and vocab,http://id.loc.gov/authorities/names/nr91030668,https://d-nb.info/gnd/119248506
200,Spinello Aretino,,vocab,1370,1410,http://viaf.org/viaf/267087482,http://vocab.getty.edu/ulan/500030643,http://www.wikidata.org/entity/Q287934,,vocab,http://id.loc.gov/authorities/names/n85057046,https://d-nb.info/gnd/118798278
200,Crivelli Carlo,,data and vocab,1455,1499,http://viaf.org/viaf/2743313,http://vocab.getty.edu/ulan/500005092,http://www.wikidata.org/entity/Q348024,http://it.wikipedia.org/wiki/Carlo_Crivelli,data and vocab,http://id.loc.gov/authorities/names/n87894087,https://d-nb.info/gnd/118872176
198,Bazzi Giovanni Antonio,Sodoma,data,1495,1599,http://viaf.org/viaf/311436515,http://vocab.getty.edu/ulan/500015183,http://www.wikidata.org/entity/Q8506,http://it.wikipedia.org/wiki/Il_Sodoma,data,http://id.loc.gov/authorities/names/n82097595,https://d-nb.info/gnd/118797859
197,Marieschi Michele,,manual,1730,1775,http://viaf.org/viaf/22938627,http://vocab.getty.edu/ulan/500115595,http://www.wikidata.org/entity/Q2501578,,manual,http://id.loc.gov/authorities/names/n87881461,https://d-nb.info/gnd/11883715X
197,Tiepolo Gian Domenico,,vocab,1740,1804,http://viaf.org/viaf/46771018,http://vocab.getty.edu/ulan/500025154,http://www.wikidata.org/entity/Q435316,,vocab,http://id.loc.gov/authorities/names/n80045042,https://d-nb.info/gnd/118642820
196,Bassano Jacopo,Bassano,data,1525,1649,http://viaf.org/viaf/24792862,http://vocab.getty.edu/ulan/500003126,http://www.wikidata.org/entity/Q346502,http://it.wikipedia.org/wiki/Jacopo_Bassano,data,http://id.loc.gov/authorities/names/n85042732,https://d-nb.info/gnd/11865750X
194,Taddeo di Bartolo,,vocab,1360,1425,http://viaf.org/viaf/292277692,http://vocab.getty.edu/ulan/500029513,http://www.wikidata.org/entity/Q740231,,vocab,http://id.loc.gov/authorities/names/nr91028538,https://d-nb.info/gnd/118835734
194,Zampieri Domenico,Domenichino,data and vocab,1600,1699,http://viaf.org/viaf/56618267,http://vocab.getty.edu/ulan/500018832,http://www.wikidata.org/entity/Q320118,http://it.wikipedia.org/wiki/Domenichino,data and vocab,http://id.loc.gov/authorities/names/n82028279,https://d-nb.info/gnd/118638831
194,Barocci Federico,Barocci,data and vocab,1555,1650,http://viaf.org/viaf/87626363,http://vocab.getty.edu/ulan/500115210,http://www.wikidata.org/entity/Q316731,,data and vocab,http://id.loc.gov/authorities/names/n50067722,https://d-nb.info/gnd/119256908
192,Zais Giuseppe,,vocab,1700,1799,http://viaf.org/viaf/67378112,http://vocab.getty.edu/ulan/500020127,http://www.wikidata.org/entity/Q579698,,vocab,,https://d-nb.info/gnd/123616832
191,Vivarini Bartolomeo,,data and vocab,1450,1499,http://viaf.org/viaf/98283530,http://vocab.getty.edu/ulan/500029396,http://www.wikidata.org/entity/Q456971,http://it.wikipedia.org/wiki/Bartolomeo_Vivarini,data and vocab,http://id.loc.gov/authorities/names/no2011055702,https://d-nb.info/gnd/129386782
188,Bloemen Jan Frans van,Orizzonte,vocab,1590,1799,http://viaf.org/viaf/54417865,http://vocab.getty.edu/ulan/500027022,http://www.wikidata.org/entity/Q568575,,vocab,,https://d-nb.info/gnd/138755701
187,Vivarini Antonio,,data and vocab,1430,1485,http://viaf.org/viaf/19954705,http://vocab.getty.edu/ulan/500010947,http://www.wikidata.org/entity/Q935534,,data and vocab,http://id.loc.gov/authorities/names/n88613357,https://d-nb.info/gnd/130011657
187,Benozzo di Lese,Benozzo Gozzoli,data and vocab,1437,1499,http://viaf.org/viaf/49498139,http://vocab.getty.edu/ulan/500000246,http://www.wikidata.org/entity/Q248615,http://it.wikipedia.org/wiki/Benozzo_Gozzoli,data and vocab,http://id.loc.gov/authorities/names/n50059011,https://d-nb.info/gnd/118696831
186,Bassano,,,1550,1699,,,,,,,
186,Luteri Giovanni,Dossi Dosso,data,1505,1550,http://viaf.org/viaf/122090925,http://vocab.getty.edu/ulan/500114963,http://www.wikidata.org/entity/Q356777,,data,http://id.loc.gov/authorities/names/nr91020770,https://d-nb.info/gnd/118973436
186,Botticini Francesco,,data and vocab,1460,1504,http://viaf.org/viaf/17496660,http://vocab.getty.edu/ulan/500010663,http://www.wikidata.org/entity/Q983275,http://it.wikipedia.org/wiki/Francesco_Botticini,data and vocab,http://id.loc.gov/authorities/names/nr91026024,https://d-nb.info/gnd/119297507
184,Mariotto di Nardo,,vocab,1380,1425,http://viaf.org/viaf/22985496,http://vocab.getty.edu/ulan/500018483,http://www.wikidata.org/entity/Q1645722,,vocab,http://id.loc.gov/authorities/names/nr91028679,https://d-nb.info/gnd/120960095
179,Rossi Francesco de',Salviati,data and vocab,1520,1575,http://viaf.org/viaf/12395550,http://vocab.getty.edu/ulan/500002852,http://www.wikidata.org/entity/Q704594,,data and vocab,http://id.loc.gov/authorities/names/no93014332,https://d-nb.info/gnd/118794280
179,Merisi Michelangelo,Caravaggio,data and vocab,1590,1649,http://viaf.org/viaf/87679282,http://vocab.getty.edu/ulan/500115312,http://www.wikidata.org/entity/Q42207,http://it.wikipedia.org/wiki/Caravaggio,data and vocab,http://id.loc.gov/authorities/names/n50000558,https://d-nb.info/gnd/118519034
178,Andrea d'Agnolo,Andrea del Sarto,data and vocab,1505,1549,http://viaf.org/viaf/59101593,http://vocab.getty.edu/ulan/500025314,http://www.wikidata.org/entity/Q5571,http://it.wikipedia.org/wiki/Andrea_del_Sarto,data and vocab,http://id.loc.gov/authorities/names/n82037657,https://d-nb.info/gnd/118794604
177,Bardi Donato,Donatello,conflict,1400,1499,http://viaf.org/viaf/23234019,http://vocab.getty.edu/ulan/500005883,http://www.wikidata.org/entity/Q3713796,http://it.wikipedia.org/wiki/Donato_de'_Bardi,conflict,,https://d-nb.info/gnd/129977128
175,Carucci Iacopo,Pontormo,data and vocab,1500,1599,http://viaf.org/viaf/110043526,http://vocab.getty.edu/ulan/500008780,http://www.wikidata.org/entity/Q207929,http://it.wikipedia.org/wiki/Pontormo,data and vocab,http://id.loc.gov/authorities/names/n85800632,https://d-nb.info/gnd/118822713
173,Bordone Paris,,data and vocab,1500,1580,http://viaf.org/viaf/47034626,http://vocab.getty.edu/ulan/500018343,http://www.wikidata.org/entity/Q366081,http://it.wikipedia.org/wiki/Paris_Bordone,data and vocab,http://id.loc.gov/authorities/names/n86081102,https://d-nb.info/gnd/119374862
173,Lorenzetti Pietro,,vocab,1300,1350,http://viaf.org/viaf/172313064,http://vocab.getty.edu/ulan/500030946,http://www.wikidata.org/entity/Q309635,,vocab,http://id.loc.gov/authorities/names/n86142480,https://d-nb.info/gnd/118729063
173,Andrea di Bartolo,Andrea da Jesi,data and vocab,1350,1471,http://viaf.org/viaf/50131806,http://vocab.getty.edu/ulan/500024770,http://www.wikidata.org/entity/Q390098,,data and vocab,http://id.loc.gov/authorities/names/nr88003533,https://d-nb.info/gnd/123312663
173,Moroni Giovan Battista,,data and vocab,1540,1580,http://viaf.org/viaf/293513602,http://vocab.getty.edu/ulan/500011118,http://www.wikidata.org/entity/Q504949,,data and vocab,http://id.loc.gov/authorities/names/n79050241,https://d-nb.info/gnd/174248822
173,Albani Francesco,,data and vocab,1590,1699,http://viaf.org/viaf/69070806,http://vocab.getty.edu/ulan/500005860,http://www.wikidata.org/entity/Q358147,http://it.wikipedia.org/wiki/Francesco_Albani,data and vocab,http://id.loc.gov/authorities/names/n83301315,https://d-nb.info/gnd/119344483
172,Bellotto Bernardo,Canaletto,conflict,1736,1780,http://viaf.org/viaf/88652637,http://vocab.getty.edu/ulan/500115269,http://www.wikidata.org/entity/Q182664,http://it.wikipedia.org/wiki/Canaletto,conflict,http://id.loc.gov/authorities/names/n79065963,https://d-nb.info/gnd/118638203
171,Bernini Gian Lorenzo,,data and vocab,1610,1699,http://viaf.org/viaf/73850000,http://vocab.getty.edu/ulan/500032022,http://www.wikidata.org/entity/Q160538,http://it.wikipedia.org/wiki/Gian_Lorenzo_Bernini,data and vocab,http://id.loc.gov/authorities/names/n79127068,https://d-nb.info/gnd/118509926
170,Berrettini Pietro,Pietro da Cortona,data and vocab,1610,1702,http://viaf.org/viaf/95204251,http://vocab.getty.edu/ulan/500115154,http://www.wikidata.org/entity/Q333323,http://it.wikipedia.org/wiki/Pietro_da_Cortona,data and vocab,http://id.loc.gov/authorities/names/n79109863,https://d-nb.info/gnd/118638599
169,Robusti Domenico,Domenico Tintoretto,data,1550,1635,http://viaf.org/viaf/54417324,http://vocab.getty.edu/ulan/500031899,http://www.wikidata.org/entity/Q706519,http://it.wikipedia.org/wiki/Domenico_Tintoretto,data,http://id.loc.gov/authorities/names/nr2003041267,https://d-nb.info/gnd/122748255
169,Batoni Pompeo Girolamo,,data and vocab,1710,1790,http://viaf.org/viaf/88687254,http://vocab.getty.edu/ulan/500012720,http://www.wikidata.org/entity/Q505613,http://it.wikipedia.org/wiki/Pompeo_Batoni,data and vocab,http://id.loc.gov/authorities/names/n85013072,https://d-nb.info/gnd/119024098
168,Gaddi Taddeo,,data and vocab,1300,1366,http://viaf.org/viaf/253218353,http://vocab.getty.edu/ulan/500115669,http://www.wikidata.org/entity/Q315835,http://it.wikipedia.org/wiki/Taddeo_Gaddi,data and vocab,http://id.loc.gov/authorities/names/n82045951,https://d-nb.info/gnd/118716077
168,Carli Raffaello dei,Raffaellino del Garbo,data,1485,1524,http://viaf.org/viaf/95697942,http://vocab.getty.edu/ulan/500002831,http://www.wikidata.org/entity/Q954072,http://it.wikipedia.org/wiki/Raffaellino_del_Garbo,data,,https://d-nb.info/gnd/119167476
167,Gentile di Niccolò di Giovanni,Gentile da Fabriano,vocab,1395,1449,http://viaf.org/viaf/88701405,http://vocab.getty.edu/ulan/500017803,http://www.wikidata.org/entity/Q312393,,vocab,http://id.loc.gov/authorities/names/n82083520,https://d-nb.info/gnd/118716832
166,Algardi Alessandro,,data and vocab,1615,1680,http://viaf.org/viaf/76326555,http://vocab.getty.edu/ulan/500024200,http://www.wikidata.org/entity/Q336798,http://it.wikipedia.org/wiki/Alessandro_Algardi,data and vocab,http://id.loc.gov/authorities/names/n85223975,https://d-nb.info/gnd/118808761
166,Dughet Gaspard,Pussino,data,1630,1699,http://viaf.org/viaf/74122123,http://vocab.getty.edu/ulan/500115515,http://www.wikidata.org/entity/Q741375,http://it.wikipedia.org/wiki/Gaspard_Dughet,data,http://id.loc.gov/authorities/names/n78065993,https://d-nb.info/gnd/118527983
