LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
Badia del Borgo//Badia di S. Reparata in Salto,B,,,,,,
Badia di Morrona,B,,,,,,
Badia di S. Bartolomeo,B,,,,,,
Badia di S. Godenzo,B,,,,,,
Badia di S. Maria,B,,,,,,
Badia di S. Pietro,B,,,,,,
Badia di S. Salvatore,B,,,,,,
"Badia di S. Salvatore a Settimo, Chiesa dei SS. Salvatore e Lorenzo",B,B,,,,,
Badia di S. Salvatore a Soffena,B,,,,,,
Badia di S. Salvatore a Soffena (ex),B,,,,,,
Badia di S. Salvatore e dei SS. Giusto e Clemente,B,,,,,,
Badia Fiesolana,B,,,,,,
Badia Fiorentina,B,,,,,,
Badia Morronese//Badia di S. Spirito,B,,,,,,
"Badia, Chiesa di S. Giovanni Battista",B,B,,,,,
"Badminton House, collezione duca di Beaufort",B,C,,,,,
Balboni,A,,,,,,
Ball State University Museum of Art,M,,,,,,
Ball State University Teachers College,M,,,,,,
"Ballochmyle House, collezione C. Alexander",B,C,,,,,
"Balls Park, collezione G. Faudel Phillips",B,C,,,,,
Baltimore Museum of Art,M,,,,,,
Banca Cattolica del Veneto,C,,,,,,
Banca Commerciale Italiana,C,,,,,,
Banca Intesa Sanpaolo,C,,,,,,
Banca Popolare,C,,,,,,
Banca Popolare Commercio e Industria,C,,,,,,
Banca Popolare di Lodi,C,,,,,,
Banca Popolare di Milano,C,,,,,,
Banca Popolare di Sondrio,C,,,,,,
Banca Popolare di Verona,C,,,,,,
Banca Popolare di Vicenza,C,,,,,,
Banca Popolare e Cassa di Risparmio,C,,,,,,
Banca Popolare Udinese,C,,,,,,
Banco Ambrosiano Veneto,C,,,,,,
Banco di Brescia,C,,,,,,
Banco di Napoli,C,,,,,,
Banco di S. Geminiano e S. Prospero,C,,,,,,
Banco di Santo Spirito,C,,,,,,
Banco Popolare di Verona e Novara,C,,,,,,
Banti,A,,,,,,
"Bantry House, collezione R. White, secondo conte di Bantry",B,C,,,,,
Barat College,B,,,,,,
Bardi,A,,,,,,
Bardi/ Modestini,A,,,,,,
Bardini,A,,,,,,
Baretti,A,,,,,,
Barnes Foundation,M,,,,,,
Baroni,A,,,,,,
Barsanti,A,,,,,,
Bartholdy,A,,,,,,
Baseggio,A,,,,,,
Basilica Cattedrale del S. Sepolcro,B,,,,,,
Basilica Cattedrale di S. Colomba//Tempio Malatestiano,B,,,,,,
Basilica Cattedrale di S. Maria Nuova,B,,,,,,
Basilica Cattedrale di S. Procolo M.,B,,,,,,
Basilica concattedrale di S. Prospero,B,,,,,,
Basilica da Estrela,B,,,,,,
Basílica de Nossa Senhora e Santo Antonio,B,,,,,,
Basilica dei SS. Alessio e Bonifacio,B,,,,,,
Basilica dei SS. Apostoli,B,,,,,,
Basilica dei SS. Cosma e Damiano,B,,,,,,
Basilica dei SS. Giovanni e Paolo,B,,,,,,
Basilica dei SS. Maria e Donato,B,,,,,,
Basilica dell'Osservanza,B,,,,,,
Basilica della Madonna del Monte,B,,,,,,
Basilica della Madonna del Transito,B,,,,,,
Basilica della Madonna dell'Umiltà,B,,,,,,
Basilica della SS. Annunziata,B,,,,,,
Basilica di Monte Berico,B,,,,,,
Basilica di S. Abbondio,B,,,,,,
Basilica di S. Agnese fuori le Mura,B,,,,,,
Basilica di S. Ambrogio,B,,,,,,
Basilica di S. Anastasio//Basilica di S. Elia,B,,,,,,
Basilica di S. Andrea,B,,,,,,
Basilica di S. Angelo in Formis,B,,,,,,
Basilica di S. Antonino,B,,,,,,
Basilica di S. Antonio//Il Santo,B,,,,,,
Basilica di S. Bernardino,B,,,,,,
Basilica di S. Caterina d'Alessandria,B,,,,,,
Basilica di S. Cecilia in Trastevere,B,,,,,,
Basilica di S. Chiara,B,,,,,,
Basilica di S. Clemente,B,,,,,,
"Basilica di S. Clemente, Basilica inferiore",B,B,,,,,
"Basilica di S. Clemente, Basilica superiore",B,B,,,,,
Basilica di S. Colombano,B,,,,,,
Basilica di S. Croce,B,,,,,,
Basilica di S. Croce in Gerusalemme,B,,,,,,
Basilica di S. Domenico,B,,,,,,
Basilica di S. Eufemia,B,,,,,,
Basilica di S. Eugenio,B,,,,,,
Basilica di S. Eustorgio,B,,,,,,
Basilica di S. Fedele,B,,,,,,
Basilica di S. Francesco,B,,,,,,
Basilica di S. Francesco alla Rocca,B,,,,,,
"Basilica di S. Francesco, Basilica inferiore",B,B,,,,,
"Basilica di S. Francesco, Basilica superiore",B,B,,,,,
Basilica di S. Frediano,B,,,,,,
Basilica di S. Gaudenzio,B,,,,,,
Basilica di S. Giovanni Evangelista,B,,,,,,
Basilica di S. Giovanni in Laterano,B,,,,,,
Basilica di S. Giulio,B,,,,,,
Basilica di S. Giustina,B,,,,,,
Basilica di S. Lorenzo,B,,,,,,
Basilica di S. Lorenzo fuori le Mura,B,,,,,,
Basilica di S. Lorenzo in Damaso,B,,,,,,
Basilica di S. Lorenzo Maggiore,B,,,,,,
Basilica di S. Magno,B,,,,,,
Basilica di S. Marco,B,,,,,,
Basilica di S. Marco Evangelista al Campidoglio,B,,,,,,
Basilica di S. Margherita,B,,,,,,
Basilica di S. Maria Assunta,B,,,,,,
Basilica di S. Maria Assunta in Carignano,B,,,,,,
Basilica di S. Maria degli Angeli,B,,,,,,
"Basilica di S. Maria degli Angeli, Museo della Porziuncola",B,M,,,,,
Basilica di S. Maria dei Servi,B,,,,,,
Basilica di S. Maria del Colle,B,,,,,,
Basilica di S. Maria del Fiore,B,,,,,,
Basilica di S. Maria delle Grazie,B,,,,,,
Basilica di S. Maria in Trastevere,B,,,,,,
Basilica di S. Maria in Vado,B,,,,,,
Basilica di S. Maria Maggiore,B,,,,,,
Basilica di S. Maria Maggiore di Siponto,B,,,,,,
Basilica di S. Martino,B,,,,,,
Basilica di S. Martino ai Monti,B,,,,,,
Basilica di S. Michele Maggiore,B,,,,,,
Basilica di S. Miniato al Monte,B,,,,,,
Basilica di S. Nazaro Maggiore,B,,,,,,
Basilica di S. Nicola da Tolentino,B,,,,,,
Basilica di S. Nicola di Bari,B,,,,,,
Basilica di S. Nicolò,B,,,,,,
Basilica di S. Pancrazio,B,,,,,,
Basilica di S. Paolo fuori le Mura,B,,,,,,
Basilica di S. Paolo Maggiore,B,,,,,,
Basilica di S. Petronio,B,,,,,,
Basilica di S. Pietro,B,,,,,,
Basilica di S. Pietro in Ciel d'Oro,B,,,,,,
Basilica di S. Pietro in Vincoli,B,,,,,,
Basilica di S. Prassede,B,,,,,,
Basilica di S. Restituta,B,,,,,,
Basilica di S. Rita,B,,,,,,
Basilica di S. Sabina,B,,,,,,
Basilica di S. Salvatore,B,,,,,,
Basilica di S. Sebastiano fuori le Mura,B,,,,,,
Basilica di S. Simpliciano,B,,,,,,
Basilica di S. Stefano,B,,,,,,
Basilica di S. Teodoro,B,,,,,,
Basilica di S. Trinita,B,,,,,,
Basilica di S. Ubaldo,B,,,,,,
Basilica di S. Valentino,B,,,,,,
Basilica di S. Vincenzo in Galliano,B,,,,,,
Basilica di S. Vittore al Corpo,B,,,,,,
Basilica di S. Zeno Maggiore,B,,,,,,
Basilica di Santa Maria Assunta,B,,,,,,
Basilica di Superga,B,,,,,,
Basilica Eufrasiana,B,,,,,,
Basilica-Collegiata di S. Maria Assunta,B,,,,,,
Basilica-santuario di S. Maria all'Impruneta,B,,,,,,
Basilika Vierzehnheiligen,B,,,,,,
Basilique de Sainte-Marie-Madeleine,B,,,,,,
Baskett & Day,A,,,,,,
Baslow,A,,,,,,
Bass Museum of Art,M,,,,,,
Battistelli,A,,,,,,
Battistero,B,,,,,,
Battistero di S. Giovanni Battista,B,,,,,,
Battistero di S. Giovanni in Fonte//Battistero di S. Giovanni in Laterano,B,,,,,,
Battistero di S. Giovanni in Fonte//Battistero Lateranense,B,,,,,,
Battistero Lateranense,B,,,,,,
Battistero Neoniano,B,,,,,,
Bayerische Nationalmuseum,M,,,,,,
Bayerische Staatsbibliothek,M,,,,,,
Bayerische Staatsgemäldesammlungen,M,,,,,,
"Bayford House, collezione A. Bell",B,C,,,,,
"Baylor University, Armstrong Browning Library",B,M,,,,,
Beaverbrook Art Gallery,M,,,,,,
Beccarelli,A,,,,,,
Beccherie,B,,,,,,
Bedford Estates,B,,,,,,
"Bedwell Park, collezione F.D.S. Fremantle",B,C,,,,,
"Beechwood Park, collezione Sebright",B,C,,,,,
Bellesi,A,,,,,,
Bellini,A,,,,,,
Bellini (?),A,,,,,,
"Belvedere House, collezione S. Gideon",B,C,,,,,
"Belvedere, collezione Imperiale",B,C,,,,,
"Belvoir Castle, collezione duca di Rutland",B,C,,,,,
"Belvoir Castle, collezione Duke of Rutland",B,C,,,,,
Benappi,A,,,,,,
Benedict,A,,,,,,
Benedict & Co.,A,,,,,,
Bennington Museum,M,,,,,,
"Bentley Priory, collezione Abercorn",B,C,,,,,
Berea College Doris Ulmann Galleries,M,,,,,,
Bergen Billedgalleri,M,,,,,,
Bergen Kunstmuseum,M,,,,,,
Berger,A,,,,,,
"Berghof, collezione A. Hitler",B,C,,,,,
Bern Louis-Philippe,A,,,,,,
Bernard,A,,,,,,
Bertolami Fine Arts,A,,,,,,
Beskow,A,,,,,,
Biblioteca Alessandrina alla Sapienza,M,,,,,,
Biblioteca Ambrosiana,M,,,,,,
Biblioteca Civica,M,,,,,,
Biblioteca Civica G.C. Croce (ex Ospedale di S. Salvatore),M,,,,,,
Biblioteca Classense,M,,,,,,
Biblioteca Comunale,M,,,,,,
Biblioteca Comunale dell'Archiginnasio,M,,,,,,
Biblioteca dell'Appartamento Nobile Pontificio,M,,,,,,
Biblioteca Malatestiana,M,,,,,,
