LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
Palazzo Gritti,B,,,,,,
Palazzo Guadagni,B,,,,,,
Palazzo Hercolani,B,,,,,,
Palazzo Iacobilli Roncalli,B,,,,,,
Palazzo Inghirami,B,,,,,,
Palazzo Iseppo Da Porto,B,,,,,,
Palazzo Ivancich,B,,,,,,
Palazzo La Marmora,B,,,,,,
Palazzo Labia,B,,,,,,
"Palazzo Labia, collezione Rai",B,C,,,,,
Palazzo Lancellotti,B,,,,,,
Palazzo Lateranense,B,,,,,,
Palazzo Liechtenstein,B,,,,,,
Palazzo Locatelli,B,,,,,,
Palazzo Loschi,B,,,,,,
Palazzo Luccheschi,B,,,,,,
Palazzo Madama,B,,,,,,
Palazzo Mainoni Guicciardini,B,,,,,,
Palazzo Malvezzi Campeggi,B,,,,,,
Palazzo Marchetti,B,,,,,,
Palazzo Marignoli,B,,,,,,
Palazzo Martelli,B,,,,,,
Palazzo Martinengo Cesaresco Novarino,B,,,,,,
Palazzo Marucelli Fenzi,B,,,,,,
Palazzo Massari,B,,,,,,
Palazzo Massimo alle Colonne,B,,,,,,
Palazzo Mattei di Giove,B,,,,,,
Palazzo Mattei di Paganica,B,,,,,,
Palazzo Mediceo,B,,,,,,
Palazzo Medici-Riccardi,B,,,,,,
Palazzo Milzetti,B,,,,,,
Palazzo Mocenigo,B,,,,,,
Palazzo Mocenigo a San Stae,B,,,,,,
Palazzo Mochi,B,,,,,,
Palazzo Montecalvi,B,,,,,,
Palazzo Morolin,B,,,,,,
Palazzo Municipale,B,,,,,,
Palazzo Odescalchi,B,,,,,,
Palazzo Onigo,B,,,,,,
Palazzo Onofri,B,,,,,,
Palazzo Orlandini del Beccuto,B,,,,,,
Palazzo Orsini,B,,,,,,
Palazzo Pallavicini Rospigliosi,B,,,,,,
"Palazzo Pallavicini Rospigliosi, collezione Coldiretti",B,C,,,,,
"Palazzo Pallavicini Rospigliosi, collezione Italcable",B,C,,,,,
Palazzo Pallavicino,B,,,,,,
Palazzo Papafava dei Carraresi,B,,,,,,
Palazzo Papale,B,,,,,,
Palazzo Parisi (ex Marchiolo),B,,,,,,
Palazzo Patrizi,B,,,,,,
Palazzo Pegolo,B,,,,,,
Palazzo Pepoli Campogrande,B,,,,,,
Palazzo Peretti Almagià,B,,,,,,
Palazzo Petrangeli,B,,,,,,
Palazzo Petrignani,B,,,,,,
Palazzo Petrozzani,B,,,,,,
Palazzo Piccolomini,B,,,,,,
Palazzo Pietromarchi,B,,,,,,
Palazzo Piloni,B,,,,,,
Palazzo Pisani-Moretta,B,,,,,,
Palazzo Pitti,B,,,,,,
"Palazzo Pitti, Appartamenti Reali",B,M,,,,,
"Palazzo Pitti, Galleria d'Arte Moderna",B,M,,,,,
"Palazzo Pitti, Galleria Palatina",B,M,,,,,
"Palazzo Pitti, Galleria Palatina e Appartamenti Reali",B,M,,,,,
"Palazzo Pitti, Giardino di Boboli",B,M,,,,,
"Palazzo Pitti, Museo degli Argenti",B,M,,,,,
"Palazzo Pitti, Museo della Moda e del Costume",B,M,,,,,
Palazzo Poggi,B,,,,,,
Palazzo Pontani,B,,,,,,
Palazzo Pontificio,B,,,,,,
Palazzo Portinari Salviati,B,,,,,,
Palazzo Pratonieri,B,,,,,,
Palazzo Pretorio,B,,,,,,
Palazzo Pubblico,B,,,,,,
"Palazzo Pubblico, Museo Civico",B,M,,,,,
Palazzo Pucci,B,,,,,,
Palazzo Racani Arroni,B,,,,,,
Palazzo Raggio,B,,,,,,
Palazzo Reale,B,,,,,,
"Palazzo Reale, Collezioni Statali d'Arte (Kraljevski Dvor, Kolekcija umjetnickih predmeta)",B,M,,,,,
Palazzo Rezzonico,B,,,,,,
Palazzo Ricci,B,,,,,,
Palazzo Roccagiovine,B,,,,,,
"Palazzo Roccagiovine, collezione Zoccoli",B,C,,,,,
Palazzo Rondanini,B,,,,,,
Palazzo Rondanini Aldobrandini,B,,,,,,
Palazzo Rospigliosi-Pallavicini,B,,,,,,
"Palazzo Rossi Poggi Marsili, Quadreria",B,M,,,,,
Palazzo Rosso,B,,,,,,
Palazzo Ruspoli,B,,,,,,
Palazzo S. Apollinare,B,,,,,,
Palazzo Sacchetti,B,,,,,,
Palazzo Sagredo,B,,,,,,
"Palazzo Sagredo, collezione F. Pospisil",B,C,,,,,
Palazzo Salvadego,B,,,,,,
Palazzo Salviati,B,,,,,,
Palazzo Sandi,B,,,,,,
Palazzo Sansedoni,B,,,,,,
Palazzo Savorgnan,B,,,,,,
Palazzo Schifanoia,B,,,,,,
Palazzo Sclafani,B,,,,,,
Palazzo Scutari,B,,,,,,
Palazzo Serafini,B,,,,,,
Palazzo Serena,B,,,,,,
Palazzo Simoncelli,B,,,,,,
Palazzo Spada,B,,,,,,
"Palazzo Spalletti-Trivelli, collezione Credem",B,C,,,,,
Palazzo Spinelli di Tarsia,B,,,,,,
Palazzo Spini Ferroni,B,,,,,,
Palazzo Spinola,B,,,,,,
Palazzo Strassoldo,B,,,,,,
Palazzo Strozzi,B,,,,,,
"Palazzo Strozzi, Istituto Nazionale di Studi sul Rinascimento",B,M,,,,,
Palazzo Suppiei,B,,,,,,
"Palazzo Szlenkier, Ambasciata d'Italia",B,C,,,,,
Palazzo Tadini,B,,,,,,
Palazzo Talamini,B,,,,,,
Palazzo Taverna,B,,,,,,
Palazzo Te,B,,,,,,
Palazzo Tempi,B,,,,,,
"Palazzo Tonti, collegio Nazareno",B,M,,,,,
Palazzo Torfanini,B,,,,,,
Palazzo Torlonia,B,,,,,,
Palazzo Treves de' Bonfili,B,,,,,,
Palazzo Trinci,B,,,,,,
Palazzo Trisi,B,,,,,,
Palazzo Trotti//Palazzo del Seminario,B,,,,,,
Palazzo Uguccioni,B,,,,,,
Palazzo Usimbardi Acciaiuoli,B,,,,,,
Palazzo Valentini,B,,,,,,
Palazzo Valle,B,,,,,,
Palazzo Vecchia,B,,,,,,
Palazzo Vecchietti,B,,,,,,
Palazzo Vecchio,B,,,,,,
Palazzo Vecchio del Comune,B,,,,,,
Palazzo Vendramin-Calergi,B,,,,,,
Palazzo Verdala a Boschetto,B,,,,,,
Palazzo Verospi,B,,,,,,
Palazzo Vescovile,B,,,,,,
Palazzo Vescovile (Bischofshof),B,,,,,,
Palazzo Vespucci,B,,,,,,
Palazzo Visconti,B,,,,,,
Palazzo Vitelleschi,B,,,,,,
Palazzo Vitelli a S. Egidio,B,,,,,,
Palazzo Vitelli alla Cannoniera,B,,,,,,
Palazzo Vladimir,B,,,,,,
Palazzo Widman Foscari,B,,,,,,
Palazzo Widmann,B,,,,,,
Palazzo Zanchini-Corbinelli,B,,,,,,
Palazzo Zani,B,,,,,,
Palazzo Zenobio,B,,,,,,
Palazzo Zichy,B,,,,,,
Palazzo Zorzi Carregiani,B,,,,,,
Palazzo Zuccari,B,,,,,,
"Palazzo Zuccari, Bibliotheca Hertziana",B,M,,,,,
Palazzone,B,,,,,,
Paleis Het Loo - Nationaal Museum,M,,,,,,
Pallach,A,,,,,,
Pallesi,A,,,,,,
Palozzi,A,,,,,,
Panagía Angeloktístos,B,,,,,,
Pandolfini,A,,,,,,
Pantheon,A,,,,,,
Paoletti,A,,,,,,
Pardo,A,,,,,,
Parish Church of St. Nicholas,B,,,,,,
Parish Church of the Virgin Mary,B,,,,,,
Park Ridge Public Library,M,,,,,,
Parrish Art Museum,M,,,,,,
Parrocchiale,B,,,,,,
Parrocchiale di S. Michele,B,,,,,,
Parronchi,A,,,,,,
Parsons,A,,,,,,
Pasini,A,,,,,,
Pasti Bencini,A,,,,,,
Pat Coombs,A,,,,,,
Paul Drey Gallery,A,,,,,,
Paul Metcalf Art Gallery,A,,,,,,
Paul Reinhardt Galleries,A,,,,,,
Pavia,A,,,,,,
Pavillon d'Armenonville,B,,,,,,
Pazzagli,A,,,,,,
Pearce,A,,,,,,
Peccioli,A,,,,,,
Pedulli,A,,,,,,
Peliarco,A,,,,,,
Pellicioli,A,,,,,,
Pellicioli-Lorenzelli,A,,,,,,
"Penn House, collezione conte di Howe",B,C,,,,,
Pennsylvania Academy of the Fine Arts,M,,,,,,
Percy Moore Turner,A,,,,,,
Peretti,M,,,,,,
"Petit Palais, Musée des Beaux-Arts de la Ville de Paris",B,M,,,,,
Petreni,A,,,,,,
"Petworth House, National Trust",B,C,,,,,
Philadelphia Museum of Art,M,,,,,,
Philbrook Museum of Art,M,,,,,,
Philips,A,,,,,,
Phillips,A,,,,,,
Phillips County Museum,M,,,,,,
"Phillips, Son & Neale",A,,,,,,
Phoenix Art Museum,M,,,,,,
Piacenti,A,,,,,,
Piazza Barberini,B,,,,,,
Piazza Cavour,B,,,,,,
Piazza Corvetto,B,,,,,,
Piazza d'Aracoeli,B,,,,,,
Piazza Danti (già Piazza della Paglia),B,,,,,,
Piazza dei Cavalli,B,,,,,,
Piazza dei Signori,B,,,,,,
Piazza del Campo,B,,,,,,
Piazza del Carmine,B,,,,,,
Piazza del Duomo,B,,,,,,
Piazza del Limbo,B,,,,,,
Piazza del Mercatale angolo via S. Margherita,B,,,,,,
Piazza del Nettuno,B,,,,,,
Piazza del Popolo,B,,,,,,
Piazza del Santo,B,,,,,,
Piazza della Darsena,B,,,,,,
Piazza della Madonna,B,,,,,,
Piazza della Minerva,B,,,,,,
Piazza della Signoria,B,,,,,,
Piazza della SS. Annunziata,B,,,,,,
Piazza di Spagna,B,,,,,,
Piazza IV Novembre,B,,,,,,
Piazza Mattei,B,,,,,,
Piazza Navona,B,,,,,,
"Piazza Piattellina, angolo via del Leone",B,B,,,,,
Piazza S. Marco,B,,,,,,
Piazza S. Maria Maggiore,B,,,,,,
Piazza Vescovile,B,,,,,,
Piazzale degli Uffizi,B,,,,,,
Piazzale Michelangelo,B,,,,,,
Piazzetta Raimondello Orsini,B,,,,,,
Piazzetta S. Marco,B,,,,,,
Piccirilli,A,,,,,,
Piccola Casa della Divina Provvidenza//Cottolengo,B,,,,,,
Piccoli,A,,,,,,
"Piero Corsini, Inc.",A,,,,,,
Pierpont Morgan Library,M,,,,,,
Pieve,B,,,,,,
Pieve dei SS. Biagio e Donato,B,,,,,,
Pieve dei SS. Cornelio e Cipriano,B,,,,,,
Pieve dei SS. Giovanni e Paolo,B,,,,,,
Pieve dei SS. Giovanni ed Ermolao,B,,,,,,
Pieve dei SS. Ippolito e Biagio,B,,,,,,
Pieve dei SS. Pietro e Paolo,B,,,,,,
Pieve dei SS. Stefano e Degna,B,,,,,,
Pieve di Rapolano,B,,,,,,
Pieve di S. Agata,B,,,,,,
Pieve di S. Agnese,B,,,,,,
Pieve di S. Alessandro a Giogoli,B,,,,,,
Pieve di S. Andrea,B,,,,,,
Pieve di S. Andrea di Bigonzo,B,,,,,,
Pieve di S. Appiano,B,,,,,,
Pieve di S. Bartolomeo,B,,,,,,
Pieve di S. Cecilia a Crevole,B,,,,,,
Pieve di S. Cresci a Valcava,B,,,,,,
Pieve di S. Donato in Poggio,B,,,,,,
Pieve di S. Fiora e S. Lucilla,B,,,,,,
Pieve di S. Giorgio,B,,,,,,
Pieve di S. Giorgio a Brancoli,B,,,,,,
Pieve di S. Giovanni,B,,,,,,
Pieve di S. Giovanni Battista,B,,,,,,
Pieve di S. Giovanni Battista a Remole,B,,,,,,
Pieve di S. Giovanni Battista//Pieve della Beata,B,,,,,,
Pieve di S. Giovanni Decollato,B,,,,,,
Pieve di S. Giovanni e S. Felicita,B,,,,,,
Pieve di S. Giovanni Evangelista,B,,,,,,
Pieve di S. Giovanni in Ottavo//Pieve del Tho,B,,,,,,
Pieve di S. Giovanni in Sugana,B,,,,,,
Pieve di S. Giovanni Maggiore,B,,,,,,
Pieve di S. Giuliano,B,,,,,,
Pieve di S. Gregorio,B,,,,,,
Pieve di S. Leolino,B,,,,,,
Pieve di S. Leonardo,B,,,,,,
Pieve di S. Lorenzo,B,,,,,,
Pieve di S. Marcellino,B,,,,,,
Pieve di S. Maria,B,,,,,,
Pieve di S. Maria alla Sovara,B,,,,,,
Pieve di S. Maria Assunta,B,,,,,,
Pieve di S. Maria della Natività,B,,,,,,
Pieve di S. Maria Maggiore,B,,,,,,
Pieve di S. Martino,B,,,,,,
Pieve di S. Maurizio,B,,,,,,
Pieve di S. Nicolò,B,,,,,,
Pieve di S. Pietro,B,,,,,,
Pieve di S. Pietro a Romena,B,,,,,,
Pieve di S. Pietro in Mercato,B,,,,,,
Pieve di S. Pietro in Rosis,B,,,,,,
Pieve di S. Pietro in Sylvis,B,,,,,,
Pieve di S. Polo in Rosso,B,,,,,,
Pieve di S. Regolo,B,,,,,,
Pieve di S. Romolo,B,,,,,,
Pieve di S. Sigismondo,B,,,,,,
Pieve di S. Silvestro,B,,,,,,
Pieve di S. Siro,B,,,,,,
Pieve di S. Stefano,B,,,,,,
Pieve di S. Stefano a Campoli,B,,,,,,
Pieve di S. Vincenzo a Torri,B,,,,,,
Pii Istituti Educativi,C,,,,,,
Pinacoteca,M,,,,,,
"Pinacoteca ""Corrado Giaquinto""",M,,,,,,
Pinacoteca Ambrosiana,M,,,,,,
Pinacoteca cantonale Giovanni Züst,M,,,,,,
Pinacoteca Capitolina,M,,,,,,
Pinacoteca Civica,M,,,,,,
"Pinacoteca Civica ""Bruno Molajoli""",M,,,,,,
"Pinacoteca Civica ""Domenico Inzaghi""",M,,,,,,
"Pinacoteca Civica ""Fortunato Duranti""",M,,,,,,
"Pinacoteca Civica ""Francesco Podesti""",M,,,,,,
"Pinacoteca Civica ""Rambaldi""",M,,,,,,
"Pinacoteca Civica ""Vittore Crivelli""",M,,,,,,
Pinacoteca Civica Tosio-Martinengo,M,,,,,,
Pinacoteca Comunale,M,,,,,,
"Pinacoteca Comunale ""Donatello Stefanucci""",M,,,,,,
"Pinacoteca Comunale ""P. Tacchi Venturi""",M,,,,,,
"Pinacoteca Conventuale ""Beato Sante""",M,,,,,,
Pinacoteca D'Errico,M,,,,,,
Pinacoteca dei Cappuccini,M,,,,,,
Pinacoteca dei Girolamini,M,,,,,,
Pinacoteca del Duomo,M,,,,,,
Pinacoteca del Pio Monte della Misericordia,M,,,,,,
Pinacoteca dell'Accademia dei Concordi,M,,,,,,
Pinacoteca dell'Accademia di Belle Arti,M,,,,,,
Pinacoteca di Brera,M,,,,,,
Pinacoteca Diocesana d'Arte Sacra,M,,,,,,
Pinacoteca e Museo Civico,M,,,,,,
Pinacoteca Giuseppe Stuard,M,,,,,,
Pinacoteca Lechi,M,,,,,,
Pinacoteca Manfrediniana,M,,,,,,
Pinacoteca Nazionale,M,,,,,,
Pinacoteca Nazionale (Ethniki Pinakothiki),M,,,,,,
Pinacoteca Nazionale di Brera,M,,,,,,
Pinacoteca Nazionale di Palazzo Mansi,M,,,,,,
"Pinacoteca Nazionale, depositi",M,B,,,,,
Pinacoteca parrocchiale,M,,,,,,
Pinacoteca Provinciale,M,,,,,,
Pinacoteca Rambaldi,M,,,,,,
Piscicelli,A,,,,,,
Pivan,A,,,,,,
PKB Privatbank,C,,,,,,
Plaza Curiosity Shop,A,,,,,,
Podio,A,,,,,,
Pokrajinski Muzej,M,,,,,,
Pokrajinski Muzej Koper,M,,,,,,
Polesden Lacey,B,,,,,,
Poletti,A,,,,,,
"Poliarco, S.A.",A,,,,,,
Pollak,A,,,,,,
"Pollok House, collezione Stirling-Maxwell",B,C,,,,,
"Polmailly House, collezione Lady Grant",B,C,,,,,
Polo Museale Fiorentino,M,,,,,,
Poltava State Museum,M,,,,,,
Ponsot,A,,,,,,
Ponte Milvio,B,,,,,,
Ponte S. Angelo,B,,,,,,
Pontificia Univeristà Lateranense,M,,,,,,
Pontificio Ateneo Angelicum,B,,,,,,
Pontificio Collegio Irlandese,B,,,,,,
Poos,A,,,,,,
Porro & Co.,A,,,,,,
Porta delle due Torri,B,,,,,,
Porta di san Rufino,B,,,,,,
Porta Maggiore,B,,,,,,
Porta Nuova // Porta Pamphilia,B,,,,,,
Porta Postierla,B,,,,,,
Porta Romana,B,,,,,,
Porta S. Giorgio,B,,,,,,
Porta S. Niccolò,B,,,,,,
Porta Vecchia,B,,,,,,
Portico dei Vasari,B,,,,,,
Portland Art Museum,M,,,,,,
Portsmouth Roman Catholic Diocesan Trustees,B,C,,,,,
Posavki Musej,M,,,,,,
Pospisil,A,,,,,,
"Powis Castle, collezione conte di Powis",B,C,,,,,
"Powis Castle, collezione Earl of Powis",B,C,,,,,
Pratesi,A,,,,,,
Prefettura,B,,,,,,
Prepositura,B,,,,,,
Prepositura di S. Marco,B,,,,,,
Prepositura di S. Michele Arcangelo,B,,,,,,
Priesterhaus,B,,,,,,
Princess Royal,C,,,,,,
Princeton University Art Museum,M,,,,,,
Prinknash Abbey,B,,,,,,
Prior Park College,M,,,,,,
Pro Civitate Museum,M,,,,,,
Procura della Repubblica,B,,,,,,
Propositura,B,,,,,,
Propositura dei SS. Clemente e Giusto,B,,,,,,
Propositura del SS. Nome di Gesù,B,,,,,,
Propositura di S. Ippolito,B,,,,,,
Propositura di S. Lorenzo,B,,,,,,
Protomonastero di S. Chiara,B,,,,,,
Protomoteca Capitolina,M,,,,,,
"Provincial House, Society of Jesuits",B,C,,,,,
Provinzial Museum,M,,,,,,
Provveditorato alle Opere Pubbliche,B,,,,,,
Putnam Foundation,M,,,,,,
Quadreria Arcivescovile,M,,,,,,
Quadreria della Cassa Depositi e Prestiti,M,,,,,,
Quadreria Ducale,M,,,,,,
Queen Alexandra's House Association,B,,,,,,
Questura,B,,,,,,
Questura (ex Ospedale di Bonifacio),B,,,,,,
R. Bangel,A,,,,,,
R. Day,A,,,,,,
R. Frank,A,,,,,,
R. Heinemann,A,,,,,,
R. Heinemann and Knoedler's,A,,,,,,
R. Herner,A,,,,,,
R. Langton Douglas,A,,,,,,
R. Langton Douglas and H. Horne,A,,,,,,
R. Lebel,A,,,,,,
R. Noortman,A,,,,,,
R. Rysavy,A,,,,,,
R. Thesiger,A,,,,,,
R. Valls-Colnaghi,A,,,,,,
R. von Hirsh,A,,,,,,
R.C. Fergusson,A,,,,,,
Raby Castle,B,,,,,,
Raccolta comunale,M,,,,,,
Raccolta d'arte della Banca Sannitica,M,,,,,,
Raccolta d'arte della Chiesa di S. Maria Assunta,M,,,,,,
Raccolta d'Arte di S. Francesco,M,,,,,,
Raccolte d'arte dell'Ospedale Maggiore,M,,,,,,
Radcliffe College,M,,,,,,
"Radway House, collezione Starkey",B,C,,,,,
Rafael Valls,A,,,,,,
Raffaldini,A,,,,,,
Ragioneria Generale dello Stato,B,,,,,,
Ramus,A,,,,,,
Ranger's House,B,,,,,,
"Ranger's House, collezione Wernher",B,C,,,,,
"Ranston House, collezione P.W. Baker",B,C,,,,,
Rathaus,B,,,,,,
Real Academia de Bellas Artes de San Fernando,M,,,,,,
Reggia dei Carraresi,B,,,,,,
Regia Università Italiana per Stranieri,M,,,,,,
Regio Museo Archeologico,M,,,,,,
Regionální muzeum v Teplicíc,M,,,,,,
Reichskloster Salem,B,,,,,,
Residenz,B,,,,,,
Residenza dei Mercanti,B,,,,,,
Residenzgalerie Salzburg,M,,,,,,
Residenzmuseum,M,,,,,,
Rev. J. Sanford,C,,,,,,
Reverand George C. Fisher,C,,,,,,
Reverend Canon Sutton,C,,,,,,
Rheinisches Landesmuseum Bonn,M,,,,,,
Rhode Island School of Design,M,,,,,,
"Rhode Island School of Design, Museum of Art",B,M,,,,,
Riccardi,A,,,,,,
Ricci,A,,,,,,
Richard L. Feigen & Co.,A,,,,,,
Ricovero di Mendicità,B,,,,,,
Ridotto della procuratessa Venier,B,,,,,,
Rijksmuseum,M,,,,,,
Rijksmuseum Twenthe,M,,,,,,
Robert B. Simon,A,,,,,,
Robilant/ Voena,A,,,,,,
Rocca,B,,,,,,
Rocca Albornoziana,B,,,,,,
"Rocca Albornoziana, Museo Nazionale del Ducato di Spoleto",B,M,,,,,
Rocca Borromeo,B,,,,,,
Rocca Isolani,B,,,,,,
Rocca Malatestiana,B,,,,,,
Rocca Sanvitale,B,,,,,,
"Rockingham Castle, collezione Lord M.M. Saunders-Watson",B,C,,,,,
Rockurst College,M,,,,,,
"Roehampton, Manresa College",B,M,,,,,
Roerich Museum,M,,,,,,
"Roland, Browse and Delbanco Art Gallery",M,,,,,,
Romano,A,,,,,,
Römer,A,,,,,,
Romigioli,A,,,,,,
"Römische Haus - Goethe-Nationalmuseum, Stiftung Weimarer Klassik",M,C,,,,,
Romitorio di S. Cosimato,B,,,,,,
Romitorio di San Michele Arcangelo,B,,,,,,
"Rose Art Museum, Brandeis University",M,B,,,,,
"Rose Art Museum, Brandesis University",M,B,,,,,
Rosenberg & Stiebel,A,,,,,,
Rosenfeld,A,,,,,,
Rosini,A,,,,,,
Rossacher,A,,,,,,
"Rossie Priory, collezione Kinnaird",B,C,,,,,
Rotmann,A,,,,,,
Rotonda dell'Assunzione di Maria//Rotonda di S. Elia,B,,,,,,
Rovelli,A,,,,,,
Roy Miles Fine Paintings,A,,,,,,
Royal Armouries Museum,M,,,,,,
Royal Collection,M,,,,,,
Royal College of Music,M,,,,,,
Royal Hospital Chelsea,M,,,,,,
Royal Ontario Museum,M,,,,,,
Rubenshuis,M,,,,,,
Rubin,A,,,,,,
Rubinacci,A,,,,,,
Rubinacci-Pagano,A,,,,,,
"Rufford Abbey, collezione Saville",B,C,,,,,
Ruskin Gallery,M,,,,,,
S. Bierman (?),A,,,,,,
S. Clarke-G. Hibbert,A,,,,,,
S. David,A,,,,,,
S. Giubilei,A,,,,,,
S. Hartveld,A,,,,,,
S. Kende,A,,,,,,
S. Lodi,A,,,,,,
S. Moss,A,,,,,,
S. Rogers,A,,,,,,
S. Romano,A,,,,,,
S. Woodburn,A,,,,,,
S.C. Dickinson,A,,,,,,
S.F. Aram Gallery,A,,,,,,
S&G Gump,A,,,,,,
Sabatelli,A,,,,,,
Sabatello,A,,,,,,
Sacello,B,,,,,,
Sacerdoti,A,,,,,,
Sackville Gallery,A,,,,,,
Sacra di S. Michele,B,,,,,,
Sacre Grotte Vaticane,B,,,,,,
Sacro Convento di S. Francesco,B,,,,,,
Sacro Monte di Crea,B,,,,,,
"Sacro Monte di Crea, Basilica di S. Maria Assunta",B,B,,,,,
Sacro Monte di Orta,B,,,,,,
Sacro Monte di Varallo,B,,,,,,
"Saighton Grange, collezione duca di Westminster",B,C,,,,,
Sainsbury Centre for Visual Arts,M,,,,,,
Saint Joseph's College,M,,,,,,
Saint Louis Art Museum,M,,,,,,
Saint Paul's Union Church,B,,,,,,
Saint Thomas Church,B,,,,,,
Sala d'Arte S. Giovanni,B,,,,,,
Sala Raffaello Pagliaccetti,B,,,,,,
Salamon,A,,,,,,
Salara,A,,,,,,
Salocchi,A,,,,,,
Salocchi (?),A,,,,,,
Salocchi/ C. Sestieri,A,,,,,,
Salocchi/ Volterra,A,,,,,,
Salocchi/ Weitzner,A,,,,,,
Salomon,A,,,,,,
Salomon e Nerman,A,,,,,,
"Saltmarsh Castle, collezione E. Higginson",B,C,,,,,
Salvadori,A,,,,,,
Salve Regina College,M,,,,,,
Salzburger Barockmuseum,M,,,,,,
"Samek Art Gallery, Bucknell University",M,B,,,,,
Sampson,A,,,,,,
Samuel S. Fleischer Art Memorial,M,,,,,,
San Antonio Museum of Art,M,,,,,,
San Diego Museum of Art,M,,,,,,
San Marco Casa d'aste,AH,,,,,,
Sancta Sanctorum,B,,,,,,
"Sandbeck Park, collezione conte di Scarbrough",B,C,,,,,
Sangiorgi,A,,,,,,
Sansoni,A,,,,,,
Sant'Agostino Casa d'Aste,AH,,,,,,
Santa Barbara Museum of Art,M,,,,,,
Santa Casa dell'Annunziata,B,,,,,,
Santa Giulia - Museo della Città,M,,,,,,
Santuario Beata Vergine di Caravaggio,B,,,,,,
Santuario cateriniano,B,,,,,,
Santuario del Carmine,B,,,,,,
Santuario del Crocifisso di S. Luca,B,,,,,,
Santuario del Santissimo Crocifisso,B,,,,,,
Santuario del SS. Crocifisso,B,,,,,,
Santuario della Beata Vergine,B,,,,,,
Santuario della Beata Vergine del Soccorso,B,,,,,,
Santuario della Beata Vergine della Pioggia,B,,,,,,
Santuario della Beata Vergine delle Grazie,B,,,,,,
Santuario della Beata Vergine delle Lacrime,B,,,,,,
Santuario della Madonna,B,,,,,,
Santuario della Madonna Bianca//Chiesa di S. Lorenzo,B,,,,,,
Santuario della Madonna d'Appari,B,,,,,,
Santuario della Madonna dei Boschi,B,,,,,,
Santuario della Madonna dei Laghi,B,,,,,,
Santuario della Madonna dei Miracoli,B,,,,,,
Santuario della Madonna del Brichetto,B,,,,,,
Santuario della Madonna del Buon Consiglio,B,,,,,,
Santuario della Madonna del Colle,B,,,,,,
Santuario della Madonna del Divino Amore,B,,,,,,
Santuario della Madonna del Fontan (Sanctuaire de Nôtre-Dame des Fontaines),B,,,,,,
Santuario della Madonna del Fosco,B,,,,,,
Santuario della Madonna del Frassino,B,,,,,,
Santuario della Madonna del Lago,B,,,,,,
Santuario della Madonna del Parto,B,,,,,,
Santuario della Madonna del Pianto,B,,,,,,
Santuario della Madonna del Pilastrello,B,,,,,,
Santuario della Madonna del Poggio,B,,,,,,
Santuario della Madonna del Rifugio,B,,,,,,
Santuario della Madonna del Sasso,B,,,,,,
Santuario della Madonna del Sole,B,,,,,,
Santuario della Madonna del Sorbo,B,,,,,,
Santuario della Madonna del Tavoleto,B,,,,,,
Santuario della Madonna del Tresto,B,,,,,,
Santuario della Madonna dell'Acqua,B,,,,,,
Santuario della Madonna dell'Ambro,B,,,,,,
Santuario della Madonna dell'Oliveto,B,,,,,,
Santuario della Madonna dell'Uva Secca,B,,,,,,
Santuario della Madonna della Ghiara,B,,,,,,
Santuario della Madonna della Salute,B,,,,,,
Santuario della Madonna della Suasia,B,,,,,,
Santuario della Madonna delle Coste,B,,,,,,
Santuario della Madonna delle Grazie,B,,,,,,
Santuario della Madonna delle Grazie (ex chiesa di S. Francesco),B,,,,,,
Santuario della Madonna delle Grazie//Chiesa della Madonna Incoronata,B,,,,,,
Santuario della Madonna delle Grondici,B,,,,,,
Santuario della Madonna delle Lacrime,B,,,,,,
Santuario della Madonna di Campagna,B,,,,,,
Santuario della Madonna di Campiglione,B,,,,,,
Santuario della Madonna di Caravaggio,B,,,,,,
Santuario della Madonna di Loreto,B,,,,,,
Santuario della Madonna di Mongiovino,B,,,,,,
Santuario della Madonna di Oropa,B,,,,,,
"Santuario della Madonna di Oropa, Basilica Antica",B,B,,,,,
Santuario della Madonna di Quintiliolo,B,,,,,,
Santuario della Madonna di S. Luca,B,,,,,,
Santuario della Madonna di Tersatto,B,,,,,,
Santuario della Natività di Maria,B,,,,,,
Santuario della Pietà,B,,,,,,
Santuario della Pietrina,B,,,,,,
Santuario della Santa Casa,B,,,,,,
Santuario della SS. Trinità al Monte Serra Santa,B,,,,,,
Santuario di Bonaria,B,,,,,,
Santuario di Coronata,B,,,,,,
Santuario di Fonte Colombo,B,,,,,,
Santuario di Fontenuova,B,,,,,,
Santuario di Materdomini,B,,,,,,
Santuario di Monte Santo//Sveta Gora,B,,,,,,
Santuario di Montenero,B,,,,,,
Santuario di Montevergine,B,,,,,,
Santuario di Nostra Signora del Monte,B,,,,,,
Santuario di Nostra Signora della Misericordia,B,,,,,,
Santuario di Nostra Signora delle Grazie,B,,,,,,
Santuario di Nostra Signora delle Grazie e S. Maria Goretti,B,,,,,,
"Santuario di S. Antonio, Museo Renato Raffaelli",B,M,,,,,
Santuario di S. Chiara della Croce,B,,,,,,
Santuario di S. Francesco di Paola,B,,,,,,
Santuario di S. Maria a Parete,B,,,,,,
Santuario di S. Maria a Ponterosso,B,,,,,,
Santuario di S. Maria Consolatrice,B,,,,,,
Santuario di S. Maria d'Oriente,B,,,,,,
Santuario di S. Maria dei Bisognosi,B,,,,,,
