Cristo consegna le chiavi a san Pietro,73 C 71 24 2,TRUE
Danae e la pioggia d'oro,92 B 12 17,TRUE
Martirio di santa Caterina d'Alessandria,11 HH (CATHERINE) 63,TRUE
Sant'Elena,11 HH (HELENA),TRUE
Tributo della moneta,73 C 62,TRUE
Apollo e Dafne,92 B 32 5,TRUE
Diana e le ninfe sorprese da Atteone,92 C 35 21,TRUE
Leda e il cigno,92 B 12 22,TRUE
Madonna con Bambino tra angeli e santi,11 F 4 (+3) : 11 H,TRUE
Sacrificio di Noè,71 B 34 3,TRUE
Salomone e la regina di Saba,71 I 33,TRUE
San Girolamo in meditazione,11 H (JEROME) 36,TRUE
Stemma gentilizio,46 A 12 2 (...) 1,TRUE
Apollo e Marsia,92 B 34 12,TRUE
Giudizio di Salomone,71 I 32 5,TRUE
San Gabriele Arcangelo,11G184,TRUE
Santa Caterina d'Alessandria e il miracolo della ruota,11 HH (CATHERINE) 63 1,TRUE
Allegoria della Giustizia,59 C 2,TRUE
Funerali della Madonna,73 E 75 1,TRUE
San Tommaso d'Aquino,11 H (THOMAS AQUINAS),TRUE
Sant'Anna con la Madonna e Gesù Bambino,73 A 22 1,TRUE
Scena di caccia,43 C 11,TRUE
Trionfo di David,71 H 15 21,TRUE
Banchetto di Erode,73 C 13 3,TRUE
Decapitazione di san Paolo,73 F 22 43,TRUE
Ebbrezza di Noè,71 B 35 2,TRUE
Parabola del buon Samaritano,73 C 86 13,TRUE
San Bonaventura da Bagnoregio,11 H (BONAVENTURA),TRUE
San Giovanni Evangelista in Patmos,73 G 11,TRUE
San Giuliano l'Ospedaliere,11 H (JULIAN),TRUE
Autunno,23 D 44,TRUE
Cristo cade sotto la croce,73 D 41 11,TRUE
Decapitazione di santa Caterina d'Alessandria,11 HH (CATHERINE) 68,TRUE
Madonna Immacolata,11 F 23 2,TRUE
Piscina probatica,73 C 42 1,TRUE
Sansone e Dalila,71 F 37,TRUE
Tentazioni di sant'Antonio Abate,11 H (ANTONY ABBOT) 35 2,TRUE
Vocazione di san Pietro e sant'Andrea,73 C 71 11,TRUE
Crocifissione di sant'Andrea,73 F 25 35,TRUE
Diana e Endimione,92 C 32 1,TRUE
Disputa di santa Caterina d'Alessandria con i filosofi,11 HH (CATHERINE) 41,TRUE
Madonna del Soccorso,11 F 83 3,TRUE
Mosè e la raccolta della manna,71 E 12 54 1,TRUE
Motivi decorativi vegetali,48 A 98 3,TRUE
Negazione di san Pietro,73 D 33,TRUE
Scena biblica (?),71,TRUE
Adorazione del vitello d'oro,71 E 13 53,TRUE
Angelo musicante,11 G 21 : 48 C 75,TRUE
Creazione di Adamo,71 A 31 1,TRUE
Cristo davanti a Caifa,73 D 32 2,TRUE
Diana,92 C 3,TRUE
Erminia e i pastori,81 FF (ERMINIA) : 47 I 22 1,TRUE
Ester e Assuero,71 Q 6,TRUE
Narciso alla fonte,95 A (NARCISSUS) 21 : 31 A 23 52 (+2),TRUE
Passaggio del mar Rosso,71 E 12 22 1,TRUE
Elemosina di san Nicola di Bari,11 H (NICHOLAS) 41,TRUE
San Vincenzo Ferrer,11 H (VINCENT FERRER),TRUE
Sogno di Giacobbe,71 C 31 21 1,TRUE
Allegoria dell'Autunno,23 D 44 0,TRUE
Continenza di Scipione,98 B (SCIPIO AFRICANUS MAJOR) 51,TRUE
Daniele,11 I 62 (DANIEL),TRUE
Parabola del ricco epulone,73 C 85 2,TRUE
Rebecca al pozzo,71 C 21 31,TRUE
Rinaldo e Armida,81 FF (ARMIDA) : 81 F (RINALDO),TRUE
Sacra Famiglia con sant'Anna,73 B 82,TRUE
San Martino,11 H (MARTIN),TRUE
Santo papa,11 H : 11 P 31 11,TRUE
Sibille,11 I 2,TRUE
Sogno di san Giuseppe,73 B 62,TRUE
Allegoria della Prudenza,52 A 24 : 96 A 5,TRUE
Annuncio a san Zaccaria,73 A 11,TRUE
Apparizione di Gesù Bambino a sant'Antonio da Padova,11 H (ANTONY OF PADUA) 34 2,TRUE
Carità romana,42 B 41,TRUE
Geremia,11 I 62 (JEREMIAH) 3,TRUE
Giacobbe e Rachele al pozzo,71 C 31 33,TRUE
Noè e gli animali entrano nell'arca,71 B 32 22,TRUE
Ratto di Elena,94 C 13 3,TRUE
Ratto di Proserpina,92 N 12 31,TRUE
San Girolamo penitente,11 H (JEROME) 36,TRUE
San Girolamo traduce la Bibbia,11 H (JEROME) 12 1,TRUE
San Giuseppe,11 H (JOSEPH),TRUE
Sant'Ansano,11 H (ANSANO),TRUE
Vocazione di san Matteo Evangelista,73 C 71 15,TRUE
Annuncio a san Gioacchino,73 A 23 32,TRUE
Architettura illusionistica,48 C 14 3 : 41 E 2,TRUE
Imposizione del nome a san Giovanni Battista,73 A 14 1,TRUE
Putti alati,92 D 19 16,TRUE
Ritratto di Michelangelo Buonarroti,48 B 3 : 61 B 2 (MICHELANGELO) 11 (+51),TRUE
San Cosma e san Damiano,11 H (COSMAS & DAMIAN),TRUE
San Filippo,11 H (PHILIP),TRUE
San Giacomo Minore,11 H (JAMES THE LESS),TRUE
Santa Dorotea,11 HH (DOROTHEA),TRUE
Sant'Onofrio,11 H (ONUPHRIUS),TRUE
Allegoria della Fortezza,54 A 7(+2),TRUE
Allegoria della Fortuna,54 F 12,TRUE
Enea e Anchise in fuga da Troia in fiamme,96 B 11 3,TRUE
Fede,11 M 31,TRUE
Madonna con Bambino e sant'Anna,11 F 61 : 11 H (ANNA),TRUE
Martirio di sant'Agata,11 HH (AGATHA) 62,TRUE
Morte di Didone,96 B 33 2,TRUE
Morte di san Giuseppe,73 E 81,TRUE
Mosè e il serpente di bronzo,71 E 32 43,TRUE
Primavera,23 D 42,TRUE
San Cristoforo guada il fiume con Gesù Bambino sulle spalle,11 H (CHRISTOPHER) 51,TRUE
San Gioacchino cacciato dal Tempio,73 A 23 23,TRUE
San Giovannino,73 A 1,TRUE
San Tommaso,11 H (THOMAS),TRUE
Allegoria dell'Estate,23 D 43 0,TRUE
Ercole e Onfale,94 L 24,TRUE
