count,name,date,type,loc,viaf,ulan,source,wikidata,gnd
50,"Grosz, George",1893-1959,person,http://id.loc.gov/authorities/names/n50032968,http://viaf.org/viaf/12309408,http://vocab.getty.edu/ulan/500014558,data,http://www.wikidata.org/entity/Q107194,https://d-nb.info/gnd/118542672
50,"Borgoña, Juan de",-1533,person,http://id.loc.gov/authorities/names/n2001001808,http://viaf.org/viaf/209082591,,data,http://www.wikidata.org/entity/Q3781136,
50,"Kollner, Augustus",1813-1906,person,http://id.loc.gov/authorities/names/n50081718,http://viaf.org/viaf/77559872,http://vocab.getty.edu/ulan/500010741,data,http://www.wikidata.org/entity/Q18507882,https://d-nb.info/gnd/1053285655
50,"Beaux, Cecilia",1855-1942,person,http://id.loc.gov/authorities/names/n88277512,http://viaf.org/viaf/10135545,http://vocab.getty.edu/ulan/500014265,data,http://www.wikidata.org/entity/Q466677,https://d-nb.info/gnd/119449374
50,"Bohrod, Aaron",,person,http://id.loc.gov/authorities/names/n83051003,http://viaf.org/viaf/47563942,http://vocab.getty.edu/ulan/500029376,data,http://www.wikidata.org/entity/Q4661858,https://d-nb.info/gnd/119088878
50,"Roberts, David",1796-1864,person,http://id.loc.gov/authorities/names/n81126903,http://viaf.org/viaf/32031417,http://vocab.getty.edu/ulan/500000610,data,http://www.wikidata.org/entity/Q369776,https://d-nb.info/gnd/118601520
50,"Floris, Frans",1519 or 1520-1570,person,http://id.loc.gov/authorities/names/nr2003020096,http://viaf.org/viaf/100955172,http://vocab.getty.edu/ulan/500115614,data,http://www.wikidata.org/entity/Q543948,https://d-nb.info/gnd/121094111
50,"Brown, John",1752-1787,person,http://id.loc.gov/authorities/names/nr91006522,http://viaf.org/viaf/31849996,http://vocab.getty.edu/ulan/500017175,data,http://www.wikidata.org/entity/Q15434257,https://d-nb.info/gnd/137338880
50,"Mooney, Edward Ludlow",1813-1887,person,,,,,,
50,"Carriera, Rosalba",1675-1757,person,http://id.loc.gov/authorities/names/n85325406,http://viaf.org/viaf/69054232,http://vocab.getty.edu/ulan/500115351,data,http://www.wikidata.org/entity/Q237726,https://d-nb.info/gnd/11865330X
49,"Swain, William",1803-1847,person,,,,,,
49,"Marlow, William",1740-1813,person,http://id.loc.gov/authorities/names/no2010043740,http://viaf.org/viaf/69205001,http://vocab.getty.edu/ulan/500015908,data,http://www.wikidata.org/entity/Q3568811,https://d-nb.info/gnd/133894274
49,"Winterhalter, Franz Xaver",1805-1873,person,http://id.loc.gov/authorities/names/nr88006766,http://viaf.org/viaf/36949805,http://vocab.getty.edu/ulan/500007953,data,http://www.wikidata.org/entity/Q168659,https://d-nb.info/gnd/118920588
49,Pier Francesco,approximately 1444-approximately 1497,person,http://id.loc.gov/authorities/names/nr91029419,http://viaf.org/viaf/71247875,,data,http://www.wikidata.org/entity/Q3382678,
49,"Pars, William",1742-1782,person,http://id.loc.gov/authorities/names/n82006840,http://viaf.org/viaf/59973865,http://vocab.getty.edu/ulan/500021450,data,http://www.wikidata.org/entity/Q8016608,https://d-nb.info/gnd/12276305X
49,"Grant, Francis",1803-1878,person,http://id.loc.gov/authorities/names/nr2003022771,http://viaf.org/viaf/22921949,http://vocab.getty.edu/ulan/500013574,data,http://www.wikidata.org/entity/Q1628686,https://d-nb.info/gnd/117553514
49,"Cione, Nardo di",active 1343-1366,person,http://id.loc.gov/authorities/names/n85251504,http://viaf.org/viaf/58065747,http://vocab.getty.edu/ulan/500022998,data,http://www.wikidata.org/entity/Q748491,https://d-nb.info/gnd/121753220
